variable_name	variable_source	variable_name_original	variable_title	variable_title_extended	variable_type	value_minimum	value_maximum	value_options
state	COSD	State	Name of state		string	California	California	California
county	COSD	County	Name of county		string	Alameda	Yuba	Alameda, Alpine, Amador, Butte, Calaveras, Colusa, Contra Costa, Del Norte, El Dorado, Fresno, Glenn, Humboldt, Imperial, Inyo, Kern, Kings, Lake, Lassen, Los Angeles, Madera, Marin, Mariposa, Mendocino, Merced, Modoc, Mono, Monterey, Napa, Nevada, Orange, Placer, Plumas, Riverside, Sacramento, San Benito, San Bernardino, San Diego, San Francisco, San Joaquin, San Luis Obispo, San Mateo, Santa Barbara, Santa Clara, Santa Cruz, Shasta, Sierra, Siskiyou, Solano, Sonoma, Stanislaus, Sutter, Tehama, Trinity, Tulare, Tuolumne, Ventura, Yolo, Yuba
zhvi_mid_tier	Zillow				float	26114.7	7982827.11	
zhvi_bottom_tier	Zillow				float	12530.05	4289268.23	
zhvi_top_tier	Zillow				float	60181.35	14674966.25	
zori_rent_index	Zillow				float	855.06	16923.67	
zhvi_sfr_only	Zillow				float	25869.88	8077204.56	
zhvi_condo_only	Zillow				float	39851.28	2517552.47	
zhvi_1_bed	Zillow				float	28282.03	2163726.99	
zhvi_3_bed	Zillow				float	27053.62	4735755.25	
zhvi_5plus_bed	Zillow				float	89905.07	11071455.14	
perc_listings_price_cut	Zillow				float	0.04	0.34	
med_listings_price_cut_perc	Zillow				float	0.02	0.04	
med_doz_pending	Zillow				float	5.83	67	
market_temp_index	Zillow				float	8.75	269.67	
pct_sold_above_list	Zillow				float	0.07	0.85	
pct_sold_below_list	Zillow				float	0.1	0.84	
median_sale_to_list	Zillow				float	0.97	1.06	
for_sale_inventory	Zillow				float	4.33	940.9	
new_listings	Zillow				float	5	165	
