Zip Code,Year,ZBP_Total_Establishments,ZBP_Total_Employees,ZBP_Annual_Payroll_Thousands
91401,2010,781,6519,236773
91351,2010,591,4813,139604
91392,2010,11,0,0
91377,2010,225,542,22442
91358,2010,6,28,567
91371,2010,2,0,0
91380,2010,17,70,2430
91344,2010,957,7429,224049
91023,2010,3,0,0
91041,2010,7,22,545
91043,2010,9,0,0
91104,2010,543,3554,96068
91117,2010,6,0,204
91020,2010,327,2470,77058
91024,2010,248,1496,46656
91040,2010,306,2482,66392
91108,2010,507,2678,105057
91118,2010,5,5,71
91042,2010,308,1986,54536
91046,2010,11,70,2422
91203,2010,1072,20178,1260483
91204,2010,840,15651,515147
91206,2010,563,6963,300576
91107,2010,1296,20406,759208
91121,2010,3,0,0
91202,2010,530,3407,114228
91207,2010,166,688,27486
91208,2010,466,3345,130672
91066,2010,16,149,5255
91110,2010,1,0,0
91114,2010,4,78,1233
91125,2010,4,0,0
91102,2010,6,0,469
91105,2010,1037,21411,1026130
91129,2010,1,0,0
91209,2010,16,428,22249
91106,2010,747,6021,246839
91109,2010,51,6570,623513
91115,2010,4,22,1167
91182,2010,1,0,0
91188,2010,11,0,0
91210,2010,256,4731,123652
91103,2010,490,11463,726622
91214,2010,629,3396,112251
91077,2010,7,0,0
91116,2010,5,10,247
91222,2010,7,0,506
91025,2010,8,0,0
91224,2010,11,108,1650
91031,2010,8,62,2061
91101,2010,1787,25470,1646668
91205,2010,606,5821,211185
91017,2010,5,0,0
91021,2010,3,1,61
91030,2010,719,5723,205652
90017,2010,1795,39814,2990813
90011,2010,705,7456,206040
90019,2010,893,5829,166661
90006,2010,1039,7800,207085
90022,2010,848,10228,324767
90009,2010,19,0,0
90013,2010,1210,10444,496012
90007,2010,902,35125,1444946
90015,2010,2674,31231,1368895
90016,2010,632,8855,305924
90023,2010,960,19349,721548
90014,2010,1794,11178,342175
90008,2010,328,3468,77537
90010,2010,2553,31396,1263983
90021,2010,1879,29020,1132227
90024,2010,1898,23400,1931353
90020,2010,642,4736,160348
90005,2010,588,5456,171158
90012,2010,1251,23669,1030960
90018,2010,382,4371,140937
90025,2010,3524,26486,2280396
90001,2010,576,10301,419168
90002,2010,149,1959,62205
90003,2010,427,4424,98803
90004,2010,1049,7788,284797
90301,2010,893,13431,506709
90309,2010,1,0,0
90088,2010,1,0,0
90250,2010,1118,17273,646736
90220,2010,690,19815,919586
90278,2010,898,15540,1025385
90304,2010,294,2423,70960
90265,2010,950,9621,411844
90295,2010,14,197,14555
90405,2010,1529,13771,1033876
90296,2010,5,18,298
90303,2010,293,4878,122166
90306,2010,7,41,1178
90311,2010,2,0,0
90401,2010,1694,22353,1744474
90274,2010,950,7013,267333
90292,2010,1145,13299,604186
90293,2010,255,1011,46555
90302,2010,297,3420,137221
90403,2010,1336,8661,368460
90272,2010,858,4962,242764
90277,2010,1175,9199,328539
90290,2010,214,707,49944
90275,2010,677,4083,160062
90280,2010,934,15187,610665
90404,2010,1728,23876,2280230
90267,2010,10,37,1566
90263,2010,14,210,4227
90305,2010,103,1002,86316
90308,2010,1,0,0
90264,2010,8,0,455
90291,2010,1106,7055,357232
90270,2010,244,2568,72939
90294,2010,7,18,849
90310,2010,2,0,0
90402,2010,395,1437,99573
90266,2010,1495,14101,719501
90062,2010,129,1135,27089
90063,2010,326,3499,117222
90057,2010,696,9277,341611
90050,2010,1,0,0
90069,2010,2102,26648,1452673
90051,2010,12,516,35964
90064,2010,2179,26979,1776868
90065,2010,606,8179,302013
90072,2010,1,0,0
90074,2010,2,0,0
90067,2010,2450,51335,3910680
90068,2010,774,4935,262500
90066,2010,1161,12346,805525
90079,2010,231,830,36251
90083,2010,1,0,0
90084,2010,3,23,704
90089,2010,22,0,4754
90060,2010,7,0,481
90080,2010,1,0,0
90081,2010,1,0,0
90086,2010,17,206,10356
90091,2010,4,223,10628
90095,2010,35,331,26601
90052,2010,4,28,643
90094,2010,72,1229,110185
90099,2010,1,0,0
90061,2010,348,6309,248159
90096,2010,4,4,177
90201,2010,849,13476,413557
90047,2010,343,4293,113369
90054,2010,6,125,5937
90210,2010,2233,29410,1496508
90048,2010,2193,33075,1977926
90049,2010,1681,18732,1248420
90058,2010,1294,40730,1705794
90055,2010,5,0,0
