variable_name,variable_type,value_minimum,value_maximum
health_insurance_under_19_uninsured,float64,0.0,5346.0
health_insurance_19_to_34_uninsured,float64,0.0,17709.0
health_insurance_35_to_64_uninsured,float64,0.0,19416.0
zbp_total_establishments,float64,1.0,4751.0
zbp_total_employees,float64,0.0,174588.0
zbp_annual_payroll_thousands,float64,0.0,33404115.0
irs_total_tax_returns,float64,90.0,50570.0
irs_total_individuals_count,float64,160.0,106270.0
irs_dependents_count,float64,0.0,58770.0
irs_paid_preparer_returns_count,float64,30.0,37050.0
irs_single_returns_count,float64,30.0,26850.0
irs_joint_returns_count,float64,20.0,19220.0
irs_head_of_household_returns_count,float64,0.0,12980.0
irs_adjusted_gross_income,float64,2863.0,18452741.0
irs_salaries_wages_returns_count,float64,40.0,43700.0
irs_salaries_wages_dollars,float64,1349.0,7253109.0
irs_taxable_interest_returns_count,float64,0.0,21570.0
irs_taxable_interest_dollars,float64,0.0,273909.0
irs_business_income_returns_count,float64,0.0,10560.0
irs_business_income_dollars,float64,-124.0,413472.0
irs_capital_gains_returns_count,float64,0.0,17300.0
irs_capital_gains_dollars,float64,-54.0,11642874.0
irs_ira_distributions_returns_count,float64,0.0,6180.0
irs_ira_distributions_dollars,float64,0.0,253976.0
irs_pensions_annuities_returns_count,float64,0.0,9910.0
irs_pensions_annuities_dollars,float64,0.0,415210.0
irs_unemployment_returns_count,float64,0.0,17780.0
irs_unemployment_compensation_dollars,float64,0.0,288333.0
irs_social_security_benefits_returns_count,float64,0.0,8630.0
irs_social_security_benefits_dollars,float64,0.0,181518.0
irs_child_tax_credit_returns_count,float64,0.0,2840.0
irs_child_tax_credit_dollars,float64,0.0,1563.0
irs_refundable_child_tax_credit_returns_count,float64,0.0,5620.0
irs_refundable_child_tax_credit_dollars,float64,0.0,4609.0
irs_itemized_deductions_returns_count,float64,0.0,18570.0
irs_itemized_deductions_dollars,float64,0.0,2772431.0
irs_tax_owed_at_filing_returns_count,float64,0.0,15300.0
irs_tax_owed_at_filing_dollars,float64,0.0,426256.0
irs_refund_returns_count,float64,40.0,38630.0
irs_refund_dollars,float64,54.0,393683.0
medicare_tot_prscrbrs,float64,1.0,2343.0
medicare_tot_opioid_prscrbrs,float64,0.0,1429.0
medicare_tot_opioid_clms,float64,0.0,80173.0
medicare_tot_clms,float64,11.0,1394844.0
medicare_opioid_prscrbng_rate,float64,0.0,77.42
medicare_opioid_prscrbng_rate_5y_chg,float64,-68.8,71.09
medicare_opioid_prscrbng_rate_1y_chg,float64,-62.17,42.8
medicare_la_tot_opioid_clms,float64,0.0,10366.0
medicare_la_opioid_prscrbng_rate,float64,0.0,44.0
medicare_la_opioid_prscrbng_rate_5y_chg,float64,-46.72,35.91
medicare_la_opioid_prscrbng_rate_1y_chg,float64,-41.34,32.5
zhvi_mid_tier,float64,26114.7,7982827.11
zhvi_bottom_tier,float64,12530.05,4289268.23
zhvi_top_tier,float64,60181.35,14674966.25
zori_rent_index,float64,855.06,16923.67
zhvi_sfr_only,float64,25869.88,8077204.56
zhvi_condo_only,float64,39851.28,2517552.47
zhvi_1_bed,float64,28282.03,2163726.99
zhvi_3_bed,float64,27053.62,4735755.25
zhvi_5plus_bed,float64,89905.07,11071455.14
perc_listings_price_cut,float64,0.04,0.34
med_listings_price_cut_perc,float64,0.02,0.04
med_doz_pending,float64,5.83,67.0
market_temp_index,float64,8.75,269.67
pct_sold_above_list,float64,0.07,0.85
pct_sold_below_list,float64,0.1,0.84
median_sale_to_list,float64,0.97,1.06
for_sale_inventory,float64,4.33,940.9
new_listings,float64,5.0,165.0
