Los Angeles Hospitalizations - by Zip Code 2024,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
91016,16.888,7.108,36.044,Rate may be unstable
91020,0,,,Not applicable
91024,8.397,1.017,102.287,Rate is unstable interpret with caution
91030,2.736,0.069,33.66,Rate is unstable interpret with caution
91040,3.087,0.078,37.907,Rate is unstable interpret with caution
91042,4.702,0.439,30.464,Rate is unstable interpret with caution
91101,0,,,Not applicable
91103,4.348,0.11,27.891,Rate is unstable interpret with caution
91104,9.988,2.403,30.819,Rate is unstable interpret with caution
91105,14.897,1.045,93.702,Rate is unstable interpret with caution
91106,0,,,Not applicable
91107,17.396,3.91,51.217,Rate is unstable interpret with caution
91108,0,,,Not applicable
91201,0,,,Not applicable
91202,6.984,0.523,41.538,Rate is unstable interpret with caution
91203,11.068,0.28,62.654,Rate is unstable interpret with caution
91204,22.133,5.947,67.922,Rate is unstable interpret with caution
91205,16.913,6.182,40.291,Rate may be unstable
91206,11.352,2.281,38.929,Rate is unstable interpret with caution
91207,0,,,Not applicable
91208,0,,,Not applicable
91214,7.947,0.946,31.502,Rate is unstable interpret with caution
91301,8.623,1.418,38.873,Rate is unstable interpret with caution
91302,4.623,0.117,33.262,Rate is unstable interpret with caution
91303,5.466,0.613,31.826,Rate is unstable interpret with caution
91304,7.364,1.874,21.355,Rate is unstable interpret with caution
91306,6.995,1.873,21.106,Rate is unstable interpret with caution
91307,8.22,0.795,42.267,Rate is unstable interpret with caution
91311,17.758,6.834,40.711,Rate may be unstable
91316,12.862,3.601,42.936,Rate may be unstable
91321,11.826,3.817,31.896,Rate may be unstable
91324,7.305,0.808,29.164,Rate is unstable interpret with caution
91325,10.992,2.8,35.442,Rate is unstable interpret with caution
91326,4.374,0.496,25.07,Rate is unstable interpret with caution
91330,0,,,Not applicable
91331,5.006,1.619,12.664,Rate may be unstable
91335,5.995,1.634,15.878,Rate is unstable interpret with caution
91340,12.045,3.263,33.439,Rate is unstable interpret with caution
91342,14.156,7.463,24.989,Rate is stable
91343,3.128,0.366,12.682,Rate is unstable interpret with caution
91344,4.131,0.5,16.175,Rate is unstable interpret with caution
91345,15.301,1.754,65.369,Rate is unstable interpret with caution
91350,22.976,10.456,47.027,Rate may be unstable
91351,5.622,0.68,25.06,Rate is unstable interpret with caution
91352,44.197,26.112,71.81,Rate is stable
91354,5.202,0.627,27.102,Rate is unstable interpret with caution
91355,9.83,1.972,32.116,Rate is unstable interpret with caution
91356,25.055,10.384,56.965,Rate may be unstable
91361,10.307,2.304,58.466,Rate is unstable interpret with caution
91362,5.104,0.965,23.761,Rate is unstable interpret with caution
91364,6.732,0.796,38.212,Rate is unstable interpret with caution
91367,12.263,4.327,31.288,Rate may be unstable
91371,0,,,Not applicable
91381,4.682,0.119,36.189,Rate is unstable interpret with caution
91384,3.965,0.1,36.292,Rate is unstable interpret with caution
91387,8.651,2.357,24.124,Rate may be unstable
91390,11.347,0.879,53.972,Rate is unstable interpret with caution
91401,4.835,0.559,23.101,Rate is unstable interpret with caution
91402,11.173,4.696,23.74,Rate may be unstable
91403,16.491,4.898,50.132,Rate may be unstable
91405,22.077,10.907,40.708,Rate may be unstable
91406,6.499,1.243,20.906,Rate is unstable interpret with caution
91411,16.454,4.286,48.684,Rate is unstable interpret with caution
91423,10.893,2.965,38.17,Rate is unstable interpret with caution
91436,0,,,Not applicable
91501,13.573,1.643,54.364,Rate is unstable interpret with caution
91502,13.573,0.344,88.176,Rate is unstable interpret with caution
91504,7.438,0.901,32.628,Rate is unstable interpret with caution
91505,14.192,4.467,36.804,Rate may be unstable
91506,0,,,Not applicable
91601,8.513,1.565,36.185,Rate is unstable interpret with caution
91602,0,,,Not applicable
91604,7.106,0.856,32.346,Rate is unstable interpret with caution
91605,15.615,6.618,33.255,Rate may be unstable
91606,17.198,7.224,36.452,Rate may be unstable
91607,3.143,0.08,34.108,Rate is unstable interpret with caution
91608,0,,,Not applicable
91702,7.802,2.059,21.304,Rate is unstable interpret with caution
91706,6.112,1.636,16.533,Rate is unstable interpret with caution
91711,26.329,11.907,55.646,Rate may be unstable
91722,18.191,7.243,41.658,Rate may be unstable
91723,7.476,0.189,43.96,Rate is unstable interpret with caution
91724,12.8,3.447,37.804,Rate is unstable interpret with caution
91731,8.714,0.827,36.904,Rate is unstable interpret with caution
91732,8.717,2.782,21.664,Rate may be unstable
91733,2.749,0.07,16.799,Rate is unstable interpret with caution
91740,6.163,0.68,29.198,Rate is unstable interpret with caution
91741,21.419,7.42,53.514,Rate may be unstable
91744,7.234,2.819,17.202,Rate may be unstable
91745,11.497,4.079,26.834,Rate may be unstable
91746,2.604,0.066,21.313,Rate is unstable interpret with caution
91748,3.835,0.373,18.601,Rate is unstable interpret with caution
91750,0,,,Not applicable
91754,6.028,0.729,29.131,Rate is unstable interpret with caution
91755,4.67,0.118,34.698,Rate is unstable interpret with caution
91766,10.244,4.358,21.646,Rate may be unstable
91767,16.845,7.534,33.615,Rate may be unstable
91768,23.723,9.212,51.492,Rate may be unstable
91770,4.506,0.737,16.245,Rate is unstable interpret with caution
91773,9.325,2.505,29.69,Rate is unstable interpret with caution
91775,0,,,Not applicable
91776,0,,,Not applicable
91780,7.595,1.489,27.243,Rate is unstable interpret with caution
91789,3.055,0.335,19.221,Rate is unstable interpret with caution
91790,3.985,0.466,18.561,Rate is unstable interpret with caution
91791,0,,,Not applicable
91792,11.475,2.325,35.751,Rate is unstable interpret with caution
91801,4.309,0.742,18.564,Rate is unstable interpret with caution
91803,3.194,0.081,23.599,Rate is unstable interpret with caution
92301,17.527,6.731,54.35,Rate may be unstable
93243,0,,,Not applicable
93510,73.55,13.238,265.47,Rate is unstable interpret with caution
93532,0,,,Not applicable
93534,34.436,18.423,60.927,Rate is stable
93535,22.52,12.354,38.483,Rate is stable
93536,27.082,16.171,43.795,Rate is stable
93543,7.804,0.198,93.277,Rate is unstable interpret with caution
93544,0,,,Not applicable
93550,24.742,14.446,40.478,Rate is stable
93551,11.197,3.979,27.053,Rate may be unstable
93552,19.368,7.681,42.931,Rate may be unstable
93553,0,,,Not applicable
93560,12.013,1.442,51.422,Rate is unstable interpret with caution
93563,0,,,Not applicable
93591,72.723,25.226,202.203,Rate may be unstable
California,11.461,11.126,11.81,Rate is stable
Los Angeles,9.998,9.373,10.657,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
