Los Angeles ED Visits - by Zip Code 2013,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
91501,15.616,3.118,54.512,Rate is unstable interpret with caution
91502,36.881,9.36,109.209,Rate is unstable interpret with caution
91504,11.035,2.179,36.868,Rate is unstable interpret with caution
91505,18.571,6.664,44.624,Rate may be unstable
91506,23.729,7.379,64.413,Rate may be unstable
91601,21.348,9.423,51.871,Rate may be unstable
91602,20.206,5.123,73.412,Rate is unstable interpret with caution
91604,10.322,1.841,41.476,Rate is unstable interpret with caution
91605,18.083,9.259,35.044,Rate is stable
91606,10.933,3.978,29.707,Rate may be unstable
91607,28.864,9.434,77.547,Rate may be unstable
91608,0,,,Not applicable
91702,7.371,1.858,23.86,Rate is unstable interpret with caution
91706,6.612,2.112,18.368,Rate may be unstable
91711,18.229,5.766,46.788,Rate may be unstable
91722,5.022,0.599,24.45,Rate is unstable interpret with caution
91723,10.968,1.263,56.803,Rate is unstable interpret with caution
91724,4.25,0.108,28.861,Rate is unstable interpret with caution
91731,16.575,5.268,41.734,Rate may be unstable
91732,7.612,2.446,19.427,Rate may be unstable
91733,6.386,1.306,22.476,Rate is unstable interpret with caution
91740,2.668,0.068,25.736,Rate is unstable interpret with caution
91741,18.477,4.415,54.755,Rate is unstable interpret with caution
91744,10.379,4.381,23.374,Rate may be unstable
91745,6.764,1.717,19.644,Rate is unstable interpret with caution
91746,7.094,0.858,28.74,Rate is unstable interpret with caution
91748,1.829,0.046,14.455,Rate is unstable interpret with caution
91750,31.143,13.864,61.709,Rate may be unstable
91754,15.139,4.828,38.661,Rate may be unstable
91755,2.399,0.061,31.183,Rate is unstable interpret with caution
91766,18.57,8.19,38.412,Rate may be unstable
91767,11.75,4.229,28.964,Rate may be unstable
91768,9.618,2.281,32.225,Rate is unstable interpret with caution
91770,1.287,0.033,10.003,Rate is unstable interpret with caution
91773,5.109,0.466,26.721,Rate is unstable interpret with caution
91775,5.041,0.128,30.625,Rate is unstable interpret with caution
91776,0,,,Not applicable
91780,6.036,0.717,24.243,Rate is unstable interpret with caution
91789,1.675,0.042,20.508,Rate is unstable interpret with caution
91790,6.23,1.693,20.622,Rate is unstable interpret with caution
91791,3.131,0.079,24.039,Rate is unstable interpret with caution
91792,3.735,0.095,24.169,Rate is unstable interpret with caution
91801,1.235,0.031,13.542,Rate is unstable interpret with caution
91803,5.079,0.129,29,Rate is unstable interpret with caution
92301,28.898,11.011,116.54,Rate may be unstable
93243,0,,,Not applicable
93510,7.068,0.179,116.525,Rate is unstable interpret with caution
93532,0,,,Not applicable
93534,37.185,19.946,64.897,Rate is stable
93535,24.16,13.997,41.005,Rate is stable
93536,32.325,20.016,51.07,Rate is stable
93543,7.704,0.195,80.067,Rate is unstable interpret with caution
93544,0,,,Not applicable
93550,20.699,11.673,38.389,Rate is stable
93551,28.809,15.057,50.845,Rate is stable
93552,23.164,9.565,62.646,Rate may be unstable
93553,0,,,Not applicable
93560,9.653,1.155,93.78,Rate is unstable interpret with caution
93563,0,,,Not applicable
93591,18.037,0.457,271.3,Rate is unstable interpret with caution
California,17.56,17.15,17.983,Rate is stable
Los Angeles,11.317,10.678,11.992,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
