Los Angeles Deaths - by Zip Code 2022,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
91768,29.321,12.535,59.663,Rate may be unstable
91770,7.557,2.047,19.911,Rate is unstable interpret with caution
91773,8.993,1.752,30.004,Rate is unstable interpret with caution
91775,0,,,Not applicable
91776,7.394,1.331,27.208,Rate is unstable interpret with caution
91780,8.311,1.64,27.528,Rate is unstable interpret with caution
91789,8.045,2.033,24.586,Rate is unstable interpret with caution
91790,20.07,8.848,40.286,Rate may be unstable
91791,5.138,0.622,24.726,Rate is unstable interpret with caution
91792,12.443,2.918,37.641,Rate is unstable interpret with caution
91801,6.465,1.331,22.206,Rate is unstable interpret with caution
91803,7.467,0.855,29.653,Rate is unstable interpret with caution
92301,35.276,17.861,83.502,Rate is stable
93243,301.093,53.187,1596.28,Rate is unstable interpret with caution
93510,19.567,0.495,187.356,Rate is unstable interpret with caution
93532,0,,,Not applicable
93534,40.44,22.141,69.953,Rate is stable
93535,27.563,16.194,44.485,Rate is stable
93536,25.214,14.235,41.897,Rate is stable
93543,35.913,9.007,105.632,Rate is unstable interpret with caution
93544,0,,,Not applicable
93550,25.753,14.915,42.087,Rate is stable
93551,11.448,4,27.936,Rate may be unstable
93552,19.087,7.636,43.562,Rate may be unstable
93553,822.652,59.128,3786.67,Rate is unstable interpret with caution
93560,15.742,3.86,58.962,Rate is unstable interpret with caution
93563,0,,,Not applicable
93591,59.653,12.268,227.878,Rate is unstable interpret with caution
California,18.66,18.23,19.098,Rate is stable
Los Angeles,16.528,15.735,17.352,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
