Los Angeles  - by Zip Code 2023,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
91352,213.932,209.765,218.174,Rate is stable
91354,311.143,304.989,317.409,Rate is stable
91355,360.095,353.52,366.776,Rate is stable
91356,282.766,277.303,288.338,Rate is stable
91361,284.635,277.541,291.922,Rate is stable
91362,287.498,282.246,292.842,Rate is stable
91364,269.539,263.901,275.314,Rate is stable
91367,259.472,254.994,264.029,Rate is stable
91371,0,,,Not applicable
91381,307.942,299.831,316.248,Rate is stable
91384,352.244,344.959,359.682,Rate is stable
91387,377.154,371.049,383.353,Rate is stable
91390,344.78,336.568,353.196,Rate is stable
91401,284.168,278.825,289.598,Rate is stable
91402,195.106,191.746,198.516,Rate is stable
91403,269.211,263.018,275.556,Rate is stable
91405,264.618,260.278,269.02,Rate is stable
91406,256.803,252.438,261.234,Rate is stable
91411,305.365,298.076,312.815,Rate is stable
91423,272.45,266.866,278.16,Rate is stable
91436,229.954,223.225,236.906,Rate is stable
91501,207.471,201.397,213.741,Rate is stable
91502,433.989,420.677,447.698,Rate is stable
91504,199.449,194.292,204.729,Rate is stable
91505,294.691,288.897,300.593,Rate is stable
91506,307.38,299.796,315.163,Rate is stable
91601,286.933,280.924,293.07,Rate is stable
91602,248.636,241.539,255.979,Rate is stable
91604,216.647,211.978,221.435,Rate is stable
91605,229.694,225.535,233.922,Rate is stable
91606,241.444,237.062,245.899,Rate is stable
91607,314.568,308.21,321.093,Rate is stable
91608,0,,,Not applicable
91702,244.641,240.495,248.846,Rate is stable
91706,199.314,196.196,202.474,Rate is stable
91711,271.1,265.879,276.419,Rate is stable
91722,247.215,242.198,252.327,Rate is stable
91723,434.68,424.899,444.658,Rate is stable
91724,274.626,268.807,280.564,Rate is stable
91731,162.658,158.161,167.269,Rate is stable
91732,164.472,161.314,167.683,Rate is stable
91733,141.18,137.752,144.681,Rate is stable
91740,360.655,353.871,367.556,Rate is stable
91741,307.141,300.771,313.64,Rate is stable
91744,189.455,186.533,192.418,Rate is stable
91745,156.875,153.781,160.026,Rate is stable
91746,179.23,174.593,183.971,Rate is stable
91748,134.054,130.828,137.352,Rate is stable
91750,275.477,270.29,280.763,Rate is stable
91754,105.663,102.313,109.117,Rate is stable
91755,90.79,87.389,94.322,Rate is stable
91766,192.345,189.068,195.673,Rate is stable
91767,298.504,293.703,303.37,Rate is stable
91768,321.2,314.833,327.674,Rate is stable
91770,122.121,119.478,124.814,Rate is stable
91773,305.809,300.298,311.42,Rate is stable
91775,128.4,124.154,132.777,Rate is stable
91776,115.14,111.928,118.443,Rate is stable
91780,154.985,151.234,158.824,Rate is stable
91789,129.699,126.466,133.012,Rate is stable
91790,243.403,239.085,247.794,Rate is stable
91791,202.055,197.492,206.725,Rate is stable
91792,174.371,169.677,179.18,Rate is stable
91801,127.167,124.32,130.082,Rate is stable
91803,142.244,138.166,146.432,Rate is stable
92301,666.479,655.454,677.715,Rate is stable
93243,538.355,482.407,601.009,Rate is stable
93510,558.948,537.858,580.871,Rate is stable
93532,460.775,431.529,492.186,Rate is stable
93534,854.38,845.264,863.591,Rate is stable
93535,632.667,626.677,638.708,Rate is stable
93536,528.741,523.315,534.217,Rate is stable
93543,473.607,461.662,485.859,Rate is stable
93544,613.042,548.685,687.503,Rate is stable
93550,485.73,480.484,491.023,Rate is stable
93551,445.974,440.255,451.761,Rate is stable
93552,396.095,389.498,402.793,Rate is stable
93553,833.938,753.747,926.663,Rate is stable
93560,484.589,474.481,494.906,Rate is stable
93563,71.509,49.833,113.807,Rate is stable
93591,565.033,544.692,586.145,Rate is stable
California,295.981,295.818,296.145,Rate is stable
Los Angeles,234.385,234.093,234.677,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
